epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,7203.73,1.05833,0.6367,1.13677,0.8902,0.86932,0.92228,0.58033,1.28464,0.6606,1.19254,0.000462281,0.000462281,0.000462281
43,7373.56,1.04567,0.6329,1.12843,0.89339,0.87674,0.92585,0.57199,1.30044,0.67113,1.20819,0.000438703,0.000438703,0.000438703
44,7542.95,1.0437,0.62406,1.12584,0.9106,0.86011,0.92876,0.56446,1.32015,0.67016,1.20498,0.000415124,0.000415124,0.000415124
45,7712.77,1.0386,0.62387,1.12677,0.91234,0.86007,0.92232,0.57208,1.28666,0.65231,1.20597,0.000391546,0.000391546,0.000391546
46,7882.68,1.0259,0.6178,1.12166,0.90536,0.88187,0.93261,0.57768,1.28347,0.64561,1.20071,0.000367967,0.000367967,0.000367967
47,8052.35,1.0166,0.60789,1.11395,0.91054,0.87222,0.9224,0.55795,1.33248,0.65733,1.20791,0.000344389,0.000344389,0.000344389
48,8222.87,1.01201,0.6061,1.11074,0.89653,0.87339,0.91731,0.56235,1.29119,0.65162,1.19208,0.00032081,0.00032081,0.00032081
49,8393.05,1.00068,0.60328,1.10691,0.91777,0.87617,0.92601,0.56766,1.32639,0.65817,1.21076,0.000297232,0.000297232,0.000297232
50,8563.45,0.99288,0.59446,1.10157,0.91347,0.87085,0.92552,0.56486,1.31038,0.65404,1.20844,0.000273654,0.000273654,0.000273654
51,8772.91,0.92166,0.44959,1.06141,0.92766,0.86679,0.92091,0.56148,1.31309,0.65938,1.21654,0.000250075,0.000250075,0.000250075
52,8943.36,0.8926,0.43218,1.04391,0.92173,0.86757,0.92009,0.56942,1.30604,0.65584,1.20646,0.000226497,0.000226497,0.000226497
53,9111.23,0.87585,0.4261,1.03619,0.91905,0.88148,0.92402,0.57347,1.29613,0.64154,1.21296,0.000202918,0.000202918,0.000202918
54,9279.57,0.86788,0.42288,1.03252,0.91403,0.88404,0.92467,0.57487,1.29796,0.64136,1.21921,0.00017934,0.00017934,0.00017934
55,9448.94,0.85517,0.41713,1.02533,0.91153,0.87194,0.9205,0.57137,1.29587,0.64778,1.21549,0.000155761,0.000155761,0.000155761
56,9620.05,0.83703,0.41037,1.02003,0.92253,0.87043,0.92466,0.57135,1.30169,0.64099,1.22514,0.000132183,0.000132183,0.000132183
57,9789.78,0.83415,0.40616,1.01468,0.92696,0.8683,0.92666,0.57752,1.30139,0.64016,1.22871,0.000108604,0.000108604,0.000108604
58,9961.03,0.82161,0.40329,1.01118,0.92165,0.87539,0.92257,0.57194,1.30647,0.64358,1.23628,8.50255e-05,8.50255e-05,8.50255e-05
59,10130.5,0.81354,0.39919,1.0089,0.91669,0.88483,0.92247,0.57525,1.30307,0.64251,1.23542,6.1447e-05,6.1447e-05,6.1447e-05
60,10300.5,0.80578,0.39336,1.00509,0.9162,0.87049,0.92152,0.57244,1.29923,0.63816,1.23141,3.78685e-05,3.78685e-05,3.78685e-05
