epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,2137.91,0.51395,0.89658,0.38285,1.01199,0.99251,1,0.995,0.94191,0.97972,0.98718,0.98129,0.83006,0.36778,0.57996,0.25979,0.89379,0.000745223,0.000745223,0.000745223
31,2208.15,0.51037,0.8858,0.37767,1.0101,0.99682,1,0.995,0.94656,0.98403,0.98718,0.98265,0.8512,0.36141,0.54845,0.26934,0.88546,0.000721645,0.000721645,0.000721645
32,2278.5,0.50137,0.87592,0.36917,1.0073,0.99791,1,0.995,0.94229,0.98512,0.98718,0.98352,0.85282,0.36125,0.55369,0.25242,0.8867,0.000698066,0.000698066,0.000698066
33,2348.51,0.50057,0.88226,0.37113,1.00913,0.99754,0.9981,0.995,0.94394,0.98477,0.98528,0.9772,0.84984,0.36592,0.54444,0.27065,0.89206,0.000674488,0.000674488,0.000674488
34,2419.33,0.49019,0.87106,0.36272,0.99814,0.99729,1,0.995,0.94951,0.98451,0.98718,0.97893,0.83731,0.36579,0.53847,0.25643,0.89874,0.000650909,0.000650909,0.000650909
35,2490.19,0.4932,0.87,0.36509,1.00182,0.99838,1,0.995,0.94438,0.98559,0.98718,0.97963,0.8322,0.38651,0.53647,0.2575,0.93987,0.000627331,0.000627331,0.000627331
36,2560.02,0.4828,0.83876,0.35773,1.00018,0.99791,1,0.995,0.95147,0.98513,0.98718,0.98506,0.86216,0.35261,0.54932,0.2539,0.88073,0.000603752,0.000603752,0.000603752
37,2630.78,0.47347,0.82699,0.34727,0.98973,0.99762,1,0.995,0.95555,0.98484,0.98718,0.98222,0.86794,0.33601,0.49674,0.25078,0.86664,0.000580174,0.000580174,0.000580174
38,2700.87,0.48093,0.83885,0.35541,0.995,0.9919,1,0.995,0.95745,0.9855,0.99359,0.9915,0.863,0.34178,0.50689,0.25862,0.85195,0.000556595,0.000556595,0.000556595
39,2770.8,0.47209,0.81725,0.34704,0.99076,0.99596,1,0.995,0.96346,0.98957,0.99359,0.99076,0.83862,0.32978,0.53618,0.25174,0.8594,0.000533017,0.000533017,0.000533017
40,2841.04,0.45942,0.808,0.34183,0.98634,0.99702,1,0.995,0.95502,0.99063,0.99359,0.98891,0.85345,0.33746,0.53301,0.2455,0.87357,0.000509438,0.000509438,0.000509438
41,2911.24,0.45785,0.7982,0.33802,0.98311,0.99797,1,0.995,0.95998,0.99158,0.99359,0.99187,0.86292,0.32048,0.50701,0.23191,0.85602,0.00048586,0.00048586,0.00048586
42,2981.82,0.45013,0.79069,0.33779,0.98498,0.99614,1,0.995,0.95625,0.98341,0.98718,0.9845,0.85947,0.32249,0.52009,0.26564,0.8608,0.000462281,0.000462281,0.000462281
43,3051.8,0.45728,0.79018,0.33996,0.98934,0.99799,1,0.995,0.95429,0.99159,0.99359,0.98876,0.87042,0.31929,0.51362,0.22226,0.8608,0.000438703,0.000438703,0.000438703
44,3123.11,0.44484,0.78476,0.33147,0.9756,0.99671,1,0.995,0.95375,0.99031,0.99359,0.99172,0.8584,0.3243,0.52177,0.2268,0.84459,0.000415124,0.000415124,0.000415124
45,3192.08,0.44323,0.78871,0.32965,0.97747,0.99776,1,0.995,0.95366,0.99137,0.99359,0.98945,0.8587,0.33519,0.54411,0.23584,0.84248,0.000391546,0.000391546,0.000391546
46,3262.72,0.44326,0.77247,0.3302,0.97604,0.99586,1,0.995,0.9607,0.98306,0.98718,0.97533,0.85063,0.30644,0.50401,0.21948,0.84826,0.000367967,0.000367967,0.000367967
47,3333.31,0.43279,0.77079,0.32109,0.97308,0.99253,1,0.995,0.96364,0.97974,0.98718,0.98425,0.86808,0.3009,0.49867,0.20873,0.83837,0.000344389,0.000344389,0.000344389
48,3404.18,0.43031,0.75408,0.31815,0.97166,0.99228,1,0.995,0.95822,0.98588,0.99359,0.9883,0.87493,0.30089,0.50695,0.21353,0.8402,0.00032081,0.00032081,0.00032081
49,3474.07,0.42942,0.75989,0.31964,0.97231,0.99171,1,0.995,0.95773,0.98532,0.99359,0.99024,0.86527,0.30987,0.51673,0.22032,0.84341,0.000297232,0.000297232,0.000297232
