epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.5679,1.29719,4.01557,3.40389,1.59283,0.88702,0.26984,0.3349,0.24036,0.85948,0.24146,0.29756,0.17844,1.11464,2.683,2.02553,1.47378,0.000300851,0.000300851,0.000300851
2,49.4208,1.24353,3.0266,2.38622,1.53176,0.95854,0.34284,0.37995,0.2842,0.93276,0.31866,0.33875,0.25652,1.05441,2.21277,1.44908,1.38595,0.000593888,0.000593888,0.000593888
3,72.0416,1.19092,2.69431,1.78684,1.48247,0.84685,0.39402,0.4124,0.32428,0.82942,0.36192,0.36572,0.28069,0.93387,2.12631,1.33709,1.2695,0.000876925,0.000876925,0.000876925
4,95.1661,1.10049,2.55596,1.54845,1.41671,0.87789,0.38436,0.41793,0.32402,0.80278,0.38282,0.37057,0.28394,0.94064,1.90662,1.24702,1.28628,0.000864004,0.000864004,0.000864004
5,119.929,1.04703,2.44314,1.43465,1.38783,0.84578,0.39335,0.43116,0.33738,0.81592,0.35995,0.38399,0.28537,0.87574,1.94762,1.18704,1.25031,0.000849006,0.000849006,0.000849006
6,144.152,1.03755,2.4868,1.37153,1.38095,0.85222,0.43443,0.43572,0.35175,0.84764,0.35354,0.38414,0.30823,0.8321,1.73296,1.20367,1.19744,0.000834007,0.000834007,0.000834007
7,167.76,0.99067,2.21854,1.29268,1.34376,0.99452,0.37623,0.4452,0.35426,0.95659,0.34095,0.39025,0.31146,0.85417,1.84381,1.08888,1.2089,0.000819009,0.000819009,0.000819009
8,192.596,0.94787,2.08244,1.20016,1.30667,0.87498,0.45562,0.47082,0.38298,0.84849,0.42757,0.42809,0.33759,0.79271,1.61149,0.93061,1.13506,0.00080401,0.00080401,0.00080401
9,216.422,0.95571,2.12598,1.21094,1.30355,0.87178,0.44625,0.46845,0.36486,0.84447,0.39915,0.44033,0.3372,0.779,1.58967,0.9881,1.16424,0.000789012,0.000789012,0.000789012
10,240.191,0.92293,2.11934,1.21177,1.28974,0.81278,0.40513,0.4808,0.37721,0.60132,0.38925,0.43421,0.33823,0.76882,1.58457,1.01525,1.15436,0.000774013,0.000774013,0.000774013
11,263.467,0.90344,1.98091,1.11484,1.26691,0.42912,0.51651,0.49989,0.38162,0.37154,0.49457,0.44611,0.33304,0.76567,1.49952,0.87786,1.12114,0.000759015,0.000759015,0.000759015
12,287.672,0.86203,1.89301,1.06562,1.23884,0.52159,0.56357,0.53191,0.41178,0.4995,0.5228,0.47715,0.36218,0.72142,1.41431,0.88467,1.08941,0.000744016,0.000744016,0.000744016
13,311.418,0.86861,1.90332,1.06001,1.25487,0.46708,0.56746,0.5368,0.41257,0.42817,0.52849,0.4853,0.36429,0.7391,1.37404,0.8465,1.10337,0.000729018,0.000729018,0.000729018
14,335.213,0.84509,1.86981,1.02567,1.24314,0.48715,0.60941,0.53876,0.41451,0.44813,0.56239,0.47599,0.36256,0.72975,1.41189,0.81561,1.11551,0.000714019,0.000714019,0.000714019
15,359.461,0.8461,1.86281,1.01586,1.23837,0.51396,0.63451,0.54566,0.43415,0.50055,0.59596,0.51296,0.3731,0.68878,1.33125,0.86724,1.09372,0.000699021,0.000699021,0.000699021
16,383.326,0.83279,1.80028,0.99565,1.22547,0.49869,0.60311,0.53338,0.43413,0.47504,0.53578,0.48369,0.37026,0.67292,1.37552,0.82589,1.04708,0.000684022,0.000684022,0.000684022
17,407.93,0.81609,1.7948,0.96225,1.22287,0.53212,0.58129,0.55597,0.43895,0.47645,0.53445,0.50893,0.38358,0.70391,1.3441,0.751,1.08988,0.000669024,0.000669024,0.000669024
18,432.903,0.81677,1.77814,0.95218,1.224,0.53633,0.67407,0.5487,0.42839,0.52937,0.61868,0.5252,0.38258,0.6957,1.32202,0.78113,1.07679,0.000654025,0.000654025,0.000654025
19,456.869,0.78117,1.70115,0.91868,1.18835,0.58902,0.62375,0.54884,0.43521,0.61568,0.54415,0.51106,0.3699,0.69897,1.33657,0.74378,1.08305,0.000639027,0.000639027,0.000639027
20,479.544,0.79575,1.67123,0.90043,1.19654,0.53669,0.62886,0.57512,0.44112,0.52058,0.55345,0.51508,0.38801,0.71115,1.28367,0.75339,1.07567,0.000624028,0.000624028,0.000624028
21,502.026,0.75946,1.65403,0.86999,1.18061,0.52785,0.66391,0.55707,0.4507,0.57614,0.55234,0.54184,0.40704,0.64034,1.20291,0.73579,1.0317,0.00060903,0.00060903,0.00060903
22,524.62,0.74699,1.58615,0.85678,1.1651,0.61103,0.58974,0.57422,0.45373,0.5667,0.52642,0.51933,0.39692,0.65474,1.32626,0.70202,1.04687,0.000594031,0.000594031,0.000594031
23,547.329,0.75055,1.58039,0.85304,1.17924,0.56592,0.55295,0.56847,0.45107,0.50322,0.55671,0.52983,0.39399,0.67427,1.27119,0.68602,1.05219,0.000579033,0.000579033,0.000579033
24,570.867,0.76697,1.59947,0.84695,1.17737,0.60546,0.57549,0.57741,0.45756,0.60049,0.5549,0.53686,0.39531,0.64194,1.27811,0.70605,1.04878,0.000564034,0.000564034,0.000564034
25,595.097,0.72988,1.60217,0.83042,1.16108,0.56989,0.68632,0.57535,0.45383,0.52703,0.63623,0.52971,0.39537,0.63156,1.22656,0.67948,1.00973,0.000549036,0.000549036,0.000549036
26,618.868,0.70994,1.51203,0.79425,1.15157,0.56231,0.68115,0.58688,0.46451,0.52869,0.62718,0.53708,0.40877,0.59348,1.11722,0.6368,0.97481,0.000534037,0.000534037,0.000534037
27,643.081,0.7392,1.59151,0.83697,1.15981,0.56655,0.6428,0.57763,0.4685,0.55683,0.56711,0.54975,0.4151,0.57905,1.19233,0.666,0.98064,0.000519039,0.000519039,0.000519039
28,669.751,0.71883,1.50229,0.79914,1.1545,0.60217,0.62268,0.58525,0.4629,0.52695,0.56486,0.52655,0.39672,0.62449,1.20707,0.69871,0.98784,0.00050404,0.00050404,0.00050404
29,694.934,0.73502,1.4919,0.78983,1.16541,0.56763,0.66865,0.58554,0.46341,0.58008,0.6371,0.54977,0.40853,0.61101,1.15639,0.65833,0.99059,0.000489042,0.000489042,0.000489042
30,719.43,0.69617,1.45145,0.77696,1.13854,0.57415,0.63136,0.58383,0.46112,0.59742,0.6238,0.57889,0.42648,0.59607,1.13101,0.63181,0.96672,0.000474043,0.000474043,0.000474043
31,743.804,0.70959,1.47675,0.77186,1.14312,0.55859,0.72176,0.60801,0.47169,0.51927,0.68695,0.55715,0.42349,0.61047,1.20436,0.6192,0.97589,0.000459045,0.000459045,0.000459045
32,767.82,0.69275,1.46395,0.75449,1.14989,0.60151,0.68092,0.60002,0.48022,0.56091,0.6432,0.56169,0.4219,0.60459,1.23522,0.64359,0.97609,0.000444046,0.000444046,0.000444046
33,792.43,0.67361,1.40333,0.75195,1.11832,0.62082,0.57892,0.585,0.47489,0.55124,0.5459,0.52604,0.39965,0.59552,1.24673,0.69589,0.98461,0.000429048,0.000429048,0.000429048
34,816.335,0.66889,1.39193,0.73486,1.11962,0.61076,0.58092,0.57894,0.4681,0.56469,0.56422,0.53418,0.39977,0.55805,1.19468,0.65983,0.94138,0.000414049,0.000414049,0.000414049
35,840.176,0.66881,1.33804,0.72315,1.11407,0.55835,0.73239,0.61174,0.48766,0.51799,0.67992,0.56814,0.43614,0.55472,1.06854,0.59573,0.94704,0.000399051,0.000399051,0.000399051
36,863.767,0.67841,1.41888,0.74077,1.13006,0.59176,0.6734,0.61217,0.49127,0.54463,0.62274,0.5616,0.43239,0.55252,1.13639,0.58338,0.94018,0.000384052,0.000384052,0.000384052
37,887.33,0.66016,1.31531,0.70765,1.1212,0.53853,0.70711,0.58929,0.48378,0.51366,0.64156,0.54826,0.4261,0.54281,1.06667,0.58389,0.92999,0.000369054,0.000369054,0.000369054
38,911.493,0.62887,1.30562,0.67999,1.09059,0.55238,0.67531,0.58031,0.47951,0.52483,0.61021,0.54355,0.42438,0.55164,1.08757,0.62618,0.95008,0.000354055,0.000354055,0.000354055
39,935.058,0.64627,1.32052,0.69452,1.10683,0.53541,0.71428,0.60163,0.48274,0.57777,0.60543,0.56591,0.43127,0.57234,1.09611,0.57854,0.9554,0.000339057,0.000339057,0.000339057
40,958.664,0.63212,1.26903,0.68763,1.09772,0.56193,0.70969,0.58972,0.48248,0.54459,0.67655,0.54959,0.41721,0.53533,1.11198,0.56366,0.92392,0.000324058,0.000324058,0.000324058
41,982.221,0.63946,1.30296,0.68878,1.10185,0.64479,0.63843,0.61534,0.49712,0.59226,0.63255,0.56611,0.43137,0.54082,1.04189,0.54506,0.93029,0.00030906,0.00030906,0.00030906
42,1005.98,0.62808,1.29603,0.67754,1.09939,0.61887,0.72049,0.62022,0.49195,0.55551,0.64377,0.54779,0.42296,0.52778,1.15495,0.56403,0.93018,0.000294061,0.000294061,0.000294061
43,1029.63,0.62829,1.29165,0.69065,1.10862,0.59974,0.70147,0.60838,0.49374,0.58417,0.63399,0.56013,0.4375,0.49408,1.03968,0.53137,0.90268,0.000279063,0.000279063,0.000279063
44,1053.9,0.61708,1.21365,0.65858,1.09832,0.56807,0.70692,0.60297,0.48667,0.53016,0.64979,0.56076,0.43287,0.52263,1.03364,0.52194,0.90574,0.000264064,0.000264064,0.000264064
45,1077.79,0.61528,1.17882,0.64933,1.09111,0.5816,0.74076,0.60439,0.49558,0.52558,0.66972,0.55478,0.44054,0.5195,1.07074,0.54765,0.91488,0.000249066,0.000249066,0.000249066
46,1101.87,0.5844,1.18303,0.64259,1.08158,0.53914,0.68221,0.60794,0.49653,0.51123,0.6365,0.55698,0.44115,0.49871,1.05538,0.52328,0.89897,0.000234068,0.000234068,0.000234068
47,1125.48,0.61357,1.26337,0.65074,1.08654,0.53179,0.71217,0.5855,0.49114,0.50784,0.6589,0.54615,0.43583,0.49594,1.08322,0.57877,0.89638,0.000219069,0.000219069,0.000219069
48,1149.99,0.56956,1.14217,0.61088,1.06731,0.56784,0.7233,0.59237,0.49052,0.53681,0.67533,0.55972,0.43619,0.49091,0.99814,0.56025,0.8978,0.00020407,0.00020407,0.00020407
49,1174.24,0.5972,1.20837,0.63663,1.08406,0.57728,0.74923,0.61221,0.49508,0.51141,0.67667,0.55698,0.44268,0.51062,0.97845,0.53249,0.89902,0.000189072,0.000189072,0.000189072
