epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
50,1199.39,0.5864,1.16307,0.62196,1.08413,0.58124,0.74128,0.60829,0.49696,0.56406,0.72582,0.589,0.44881,0.49707,0.95418,0.52029,0.88764,0.000174074,0.000174074,0.000174074
51,1269.01,0.51348,0.98029,0.5956,1.04823,0.51395,0.723,0.5887,0.48525,0.50176,0.68608,0.55991,0.44491,0.51505,1.0551,0.54914,0.89937,0.000159075,0.000159075,0.000159075
52,1292.33,0.48862,0.95444,0.53589,1.03357,0.55136,0.73399,0.59331,0.48261,0.51944,0.69005,0.54209,0.43203,0.49662,1.04039,0.51291,0.89896,0.000144077,0.000144077,0.000144077
53,1315.55,0.48139,0.96152,0.53264,1.02121,0.55199,0.72144,0.5836,0.48949,0.51598,0.67425,0.52981,0.43093,0.49561,1.06635,0.50878,0.89679,0.000129078,0.000129078,0.000129078
54,1338.48,0.47024,0.93525,0.51554,1.00573,0.55703,0.73001,0.60326,0.50007,0.55461,0.65232,0.5613,0.43629,0.47781,1.05927,0.50269,0.88813,0.00011408,0.00011408,0.00011408
55,1362.09,0.44745,0.8701,0.49364,0.98833,0.54136,0.72172,0.60445,0.49787,0.50929,0.66148,0.55906,0.44243,0.47544,1.07054,0.50424,0.87468,9.9081e-05,9.9081e-05,9.9081e-05
56,1385.58,0.45035,0.86307,0.49136,0.99692,0.53009,0.70542,0.59999,0.49292,0.53751,0.60818,0.55954,0.43365,0.4772,1.04967,0.49638,0.87645,8.40825e-05,8.40825e-05,8.40825e-05
57,1410.19,0.44757,0.84924,0.48797,0.98794,0.59572,0.68203,0.61554,0.50035,0.51763,0.6969,0.5559,0.43688,0.46431,1.05826,0.49114,0.87051,6.9084e-05,6.9084e-05,6.9084e-05
58,1434.35,0.43908,0.88069,0.47766,0.98196,0.59276,0.67263,0.61941,0.50026,0.51907,0.68097,0.55683,0.44031,0.47173,1.06149,0.49079,0.86853,5.40855e-05,5.40855e-05,5.40855e-05
59,1458.72,0.42704,0.84026,0.47569,0.9795,0.5611,0.71336,0.60415,0.50239,0.52056,0.66707,0.55457,0.4432,0.46118,1.05381,0.47956,0.86262,3.9087e-05,3.9087e-05,3.9087e-05
60,1482.91,0.43173,0.82708,0.4738,0.9866,0.56443,0.73212,0.61057,0.50306,0.52859,0.68141,0.55742,0.44263,0.44903,1.03557,0.47935,0.85434,2.40885e-05,2.40885e-05,2.40885e-05
