epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,878.936,1.30905,0.85198,1.13635,0.85894,0.70313,0.76304,0.49611,1.07864,0.71663,1.08113,0.000462281,0.000462281,0.000462281
43,899.756,1.28151,0.82692,1.12461,0.86716,0.71029,0.77378,0.49949,1.09372,0.71275,1.08195,0.000438703,0.000438703,0.000438703
44,920.605,1.27853,0.82103,1.12818,0.85967,0.70405,0.7687,0.50859,1.03089,0.68941,1.05827,0.000415124,0.000415124,0.000415124
45,941.575,1.29002,0.81684,1.12028,0.8453,0.69051,0.75148,0.50039,1.03508,0.69885,1.05665,0.000391546,0.000391546,0.000391546
46,962.464,1.24445,0.80421,1.10677,0.86217,0.70606,0.76269,0.51377,1.02317,0.68359,1.05956,0.000367967,0.000367967,0.000367967
47,983.103,1.24474,0.79247,1.10266,0.79767,0.73968,0.77019,0.51515,1.04405,0.68708,1.06486,0.000344389,0.000344389,0.000344389
48,1003.33,1.23362,0.80764,1.10564,0.79589,0.74466,0.76981,0.51148,1.01783,0.66852,1.0553,0.00032081,0.00032081,0.00032081
49,1024.03,1.2318,0.78145,1.10406,0.78974,0.73448,0.76084,0.51286,1.04282,0.67365,1.06237,0.000297232,0.000297232,0.000297232
50,1044.75,1.23565,0.78656,1.09926,0.78021,0.71287,0.75559,0.50762,1.03467,0.66821,1.05307,0.000273654,0.000273654,0.000273654
51,1104.93,1.19956,0.72661,1.09503,0.82386,0.70479,0.74955,0.49169,1.09215,0.71538,1.06455,0.000250075,0.000250075,0.000250075
52,1125.53,1.19788,0.73036,1.09198,0.83782,0.69617,0.75881,0.50333,1.06106,0.69323,1.06264,0.000226497,0.000226497,0.000226497
53,1146.32,1.15727,0.70665,1.077,0.81449,0.70599,0.76052,0.51459,1.0283,0.66811,1.05051,0.000202918,0.000202918,0.000202918
54,1166.71,1.13662,0.69079,1.06602,0.79721,0.72502,0.76564,0.51274,1.02679,0.68026,1.05852,0.00017934,0.00017934,0.00017934
55,1187.36,1.12438,0.68529,1.06464,0.77912,0.71589,0.76645,0.51475,1.04727,0.66149,1.05477,0.000155761,0.000155761,0.000155761
56,1208.43,1.12137,0.67962,1.06168,0.78392,0.72361,0.7616,0.51371,1.02901,0.66907,1.05692,0.000132183,0.000132183,0.000132183
57,1229.08,1.10755,0.67245,1.06414,0.80262,0.73207,0.771,0.52293,0.9986,0.66229,1.05382,0.000108604,0.000108604,0.000108604
58,1250.35,1.10335,0.668,1.05845,0.78882,0.7261,0.7678,0.51534,1.04782,0.67218,1.05585,8.50255e-05,8.50255e-05,8.50255e-05
59,1270.67,1.07642,0.65703,1.04234,0.80225,0.72393,0.77525,0.52517,1.014,0.65669,1.05015,6.1447e-05,6.1447e-05,6.1447e-05
60,1291.56,1.09325,0.65333,1.05187,0.80191,0.72544,0.77931,0.52267,1.02076,0.66064,1.0496,3.78685e-05,3.78685e-05,3.78685e-05
